version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v0.0.2,2016-11-20,1479665674,0,0,0,0,0,0,13,225,0,0,87,26831
v0.1.0,2016-11-20,1479700627,0,0,0,0,0,0,13,225,0,0,87,26954
v0.1.1,2016-11-22,1479819871,0,0,0,0,0,0,13,225,0,0,87,27007
v0.2.0,2016-11-25,1480107163,0,0,0,0,0,0,13,225,0,0,87,27041
v0.2.1,2016-11-25,1480112805,0,0,0,0,0,0,12,210,0,0,88,27143
v1.10.0,2017-03-04,1488604556,0,0,0,0,0,0,12,210,0,0,88,27175
v1.10.1,2017-03-06,1488835051,0,0,0,0,0,0,12,210,0,0,88,27175
v1.10.2,2017-03-06,1488839941,0,0,0,0,0,0,12,210,0,0,88,27175
v1.11.0,2017-03-07,1488914760,0,0,0,0,0,0,12,210,0,0,88,27175
v1.11.1,2017-03-08,1488994007,0,0,0,0,0,0,12,210,0,0,88,27185
v1.50.1,2018-01-02,1514905321,0,0,0,0,0,0,12,210,0,0,88,27185
v1.51.0,2018-01-06,1515275817,0,0,0,0,0,0,12,210,0,0,88,27165
v1.51.1,2018-01-10,1515637863,0,0,0,0,0,0,12,210,0,0,88,27165
v1.52.0,2018-01-18,1516330229,0,0,0,0,0,0,12,210,0,0,88,27207
v1.53.0,2018-01-20,1516461694,0,0,0,0,0,0,12,210,0,0,88,27207
v2.16.1,2019-02-08,1549633130,0,0,0,0,0,0,12,210,0,0,88,27207
v3.0.0,2019-04-21,1555851960,0,0,0,0,0,0,12,205,0,0,88,26882
v3.0.0-beta.24,2019-04-14,1555269734,0,0,0,0,0,0,10,165,0,0,90,12670
v3.0.1,2019-04-24,1556164208,0,0,0,0,0,0,10,165,0,0,90,12668
v3.1.0,2019-04-25,1556248858,0,0,0,0,0,0,11,175,0,0,89,12662
v3.17.0,2020-01-13,1578934746,0,0,0,0,0,0,11,175,0,0,89,12662
v3.17.1,2020-01-14,1579022212,0,0,0,0,0,0,12,195,0,0,88,12710
v3.17.2,2020-01-20,1579573095,0,0,0,0,0,0,8,115,0,0,92,2273
v3.17.3,2020-01-23,1579792061,0,0,0,0,0,0,13,185,0,0,87,1889
v3.18.0,2020-01-25,1579973179,0,0,0,0,0,0,13,185,0,0,87,1902
v3.31.1,2021-01-01,1609552865,0,0,0,0,0,0,24,350,0,0,76,1722
v3.31.2,2021-01-04,1609797181,0,0,0,0,0,0,30,435,0,0,70,1206
v3.32.0,2021-01-25,1611615173,0,0,0,0,0,0,30,435,0,0,70,1220
v3.32.1,2021-01-29,1611950790,0,0,0,0,0,0,30,435,0,0,70,1232
v3.32.2,2021-02-08,1612812482,0,0,0,0,0,0,30,435,0,0,70,1214
v3.45.0,2022-01-06,1641503291,0,0,0,0,0,0,29,425,0,0,71,1219
v3.46.0,2022-01-11,1641939069,0,0,0,0,0,0,28,415,0,0,72,1298
v3.46.1,2022-01-12,1642018516,0,0,1,5,0,0,28,415,0,0,71,1371
v3.46.2,2022-01-14,1642203847,0,0,1,5,0,0,30,445,0,0,69,1351
v3.46.3,2022-01-26,1643210322,0,0,1,5,0,0,30,445,0,0,69,1351
svelte@4.0.0,2023-06-22,1687440957,0,0,1,5,0,0,30,445,0,0,69,1357
svelte@4.0.0-next.0,2023-05-26,1685126972,0,0,1,5,0,0,27,400,0,0,72,1389
svelte@4.0.0-next.1,2023-06-08,1686277926,0,0,1,5,0,0,23,340,0,0,76,1429
svelte@4.0.0-next.3,2023-06-22,1687433690,0,0,1,5,0,0,23,340,0,0,76,1429
svelte@4.0.1,2023-06-29,1688024131,0,0,1,5,0,0,23,340,0,0,76,1429
