version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v0.0.2,2016-11-20,1479665674,0,0,10,37,0,0,51,323,0,0,19,95
v0.1.0,2016-11-20,1479700627,0,0,11,37,0,0,51,323,0,0,18,90
v0.1.1,2016-11-22,1479819871,0,0,12,37,0,0,52,328,0,0,16,80
v0.2.0,2016-11-25,1480107163,0,0,14,47,0,0,44,257,0,0,28,140
v0.2.1,2016-11-25,1480112805,0,0,21,47,0,0,47,277,0,0,26,130
v1.10.0,2017-03-04,1488604556,0,0,6,5,0,0,7,32,0,0,87,435
v1.10.1,2017-03-06,1488835051,0,0,5,10,0,0,6,30,0,0,89,445
v1.10.2,2017-03-06,1488839941,0,0,5,10,0,0,6,30,0,0,89,445
v1.11.0,2017-03-07,1488914760,0,0,5,10,0,0,6,30,0,0,89,445
v1.11.1,2017-03-08,1488994007,0,0,0,0,0,0,11,75,0,0,88,440
v1.50.1,2018-01-02,1514905321,0,0,0,0,0,0,11,75,0,0,88,440
v1.51.0,2018-01-06,1515275817,0,0,1,0,0,0,10,60,0,0,89,436
v1.51.1,2018-01-10,1515637863,0,0,3,2,0,0,9,55,0,0,88,431
v1.52.0,2018-01-18,1516330229,0,0,1,5,0,0,8,50,0,0,75,324
v1.53.0,2018-01-20,1516461694,0,0,1,5,0,0,10,57,0,0,73,314
v2.16.1,2019-02-08,1549633130,0,0,1,5,0,0,10,57,0,0,73,314
v3.0.0,2019-04-21,1555851960,0,0,13,22,0,0,19,114,0,0,50,250
v3.0.0-beta.24,2019-04-14,1555269734,0,0,33,22,0,0,53,470,0,0,12,60
v3.0.1,2019-04-24,1556164208,0,0,23,18,0,0,50,425,0,0,24,120
v3.1.0,2019-04-25,1556248858,0,0,21,8,0,0,41,349,0,0,34,170
v3.17.0,2020-01-13,1578934746,0,0,18,6,0,0,33,299,0,0,45,225
v3.17.1,2020-01-14,1579022212,0,0,5,1,0,0,91,535,0,0,4,20
v3.17.2,2020-01-20,1579573095,0,0,0,0,0,0,7,35,0,0,93,465
v3.17.3,2020-01-23,1579792061,0,0,0,0,0,0,11,11,0,0,89,445
v3.18.0,2020-01-25,1579973179,0,0,0,0,0,0,11,11,0,0,89,445
v3.31.1,2021-01-01,1609552865,0,0,3,0,0,0,6,24,0,0,91,455
v3.31.2,2021-01-04,1609797181,0,0,21,28,0,0,59,407,0,0,15,75
v3.32.0,2021-01-25,1611615173,0,0,19,13,0,0,47,337,0,0,34,170
v3.32.1,2021-01-29,1611950790,0,0,18,11,0,0,48,367,0,0,34,170
v3.32.2,2021-02-08,1612812482,0,0,18,15,0,0,50,352,0,0,32,160
v3.45.0,2022-01-06,1641503291,0,0,27,15,0,0,37,265,0,0,36,176
v3.46.0,2022-01-11,1641939069,0,0,42,28,0,0,47,300,0,0,10,46
v3.46.1,2022-01-12,1642018516,0,0,43,29,0,0,47,305,0,0,9,41
v3.46.2,2022-01-14,1642203847,0,0,43,24,0,0,47,305,0,0,9,41
v3.46.3,2022-01-26,1643210322,0,0,43,24,0,0,47,305,0,0,9,41
svelte@4.0.0,2023-06-22,1687440957,0,0,43,24,0,0,47,305,0,0,9,41
svelte@4.0.0-next.0,2023-05-26,1685126972,0,0,42,19,0,0,47,284,0,0,8,40
svelte@4.0.0-next.1,2023-06-08,1686277926,0,0,43,19,0,0,46,279,0,0,8,40
svelte@4.0.0-next.3,2023-06-22,1687433690,0,0,43,19,0,0,46,279,0,0,8,40
svelte@4.0.1,2023-06-29,1688024131,0,0,45,19,0,0,44,269,0,0,8,40
