version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v0.1.1,2012-09-16,1347830400,0,0,87,623,0,0,8,55,0,0,3,15
v0.1.2,2012-09-16,1347831468,0,0,87,623,0,0,8,55,0,0,3,15
v0.2.0,2012-09-25,1348606567,0,0,79,527,0,0,16,230,0,0,3,15
v0.3.0,2012-10-22,1350945621,0,0,79,517,0,0,16,230,0,0,3,15
v0.3.1,2012-10-31,1351706318,0,0,72,466,0,0,23,385,0,0,4,20
_pr796_author_head,2013-10-03,1380825701,0,0,71,475,0,0,25,410,0,0,4,20
v0.10.0,2013-07-02,1372792692,0,0,66,500,0,0,27,450,0,0,7,35
v0.7.0,2013-02-01,1359679000,0,0,65,495,0,0,28,455,0,0,7,35
v0.8.0,2013-02-24,1361722813,0,0,58,440,0,0,34,560,0,0,8,40
v0.8.1,2013-02-25,1361835591,0,0,58,440,0,0,34,560,0,0,8,40
1.0.0,2014-09-08,1410136588,0,0,58,440,0,0,34,560,0,0,8,40
1.0.1,2014-09-08,1410136588,0,0,58,440,0,0,34,560,0,0,8,40
_pr1129_author_head,2014-02-20,1392941224,0,0,58,440,0,0,34,560,0,0,8,40
v1.3.0,2014-03-10,1394486876,0,0,58,440,0,0,34,560,0,0,8,40
v1.3.1,2014-03-11,1394580432,0,0,48,400,0,0,34,530,0,0,18,90
v1.4.0,2015-03-30,1427755590,0,0,49,395,0,0,33,510,0,0,18,90
v1.4.1,2015-04-01,1427873754,0,0,47,375,0,0,32,490,0,0,21,105
v1.4.2,2015-11-24,1448384866,0,0,47,375,0,0,32,490,0,0,21,105
v1.5.0,2015-08-23,1440333270,0,0,47,375,0,0,31,470,0,0,22,110
v1.5.1,2015-08-23,1440340627,0,0,48,380,0,0,31,455,0,0,21,105
v1.7.3,2016-01-20,1453310607,0,0,50,390,0,0,30,450,0,0,20,100
v1.7.5,2016-01-25,1453759027,0,0,48,350,0,0,32,490,0,0,20,100
v1.7.6,2016-01-27,1453892808,0,0,47,325,0,0,33,495,0,0,20,100
v1.7.7,2016-01-27,1453905433,0,0,46,320,0,0,33,495,0,0,21,105
v1.7.8,2016-04-04,1459789208,0,0,45,325,0,0,34,500,0,0,19,95
1.8.2,2017-09-13,1505321992,0,0,45,325,0,0,34,500,0,0,19,95
v1.8.2,2018-03-28,1522260987,0,0,44,320,0,0,34,515,0,0,20,100
v1.8.3,2018-03-28,1522259562,0,0,44,320,0,0,34,515,0,0,20,100
v1.8.4,2018-03-28,1522262609,0,0,44,320,0,0,34,515,0,0,20,100
v1.8.5,2019-01-17,1547731144,0,0,44,320,0,0,34,515,0,0,20,100
v1.8.6,2019-01-17,1547732668,0,0,43,265,0,0,35,550,0,0,20,100
v1.8.7,2019-01-17,1547764549,0,0,43,265,0,0,35,550,0,0,20,100
v1.8.8,2019-01-23,1548278130,0,0,43,265,0,0,35,550,0,0,20,100
v1.8.10,2021-01-14,1610646142,0,0,43,265,0,0,35,550,0,0,20,100
v1.8.11,2021-01-18,1610967636,0,0,43,265,0,0,35,550,0,0,20,100
v1.8.12,2021-01-18,1610984512,0,0,43,265,0,0,35,550,0,0,20,100
v1.8.13,2021-11-15,1636945845,0,0,43,265,0,0,35,550,0,0,20,100
1.8.14,2022-03-14,1647272221,0,0,47,251,0,0,44,745,0,0,7,35
